Condition,PLV,Subject,Pair
Encode,0.325809579463898,6,1
Encode,0.318344771427684,6,2
Encode,0.308975788991168,6,3
Encode,0.311657479337874,6,4
Encode,0.318075230458986,6,5
Encode,0.30827149676131,6,6
Encode,0.295991983321863,15,1
Encode,0.311777603680093,15,2
Encode,0.310898615972217,15,3
Encode,0.323223283084197,15,4
Encode,0.307607464444503,15,5
Encode,0.293104328503181,20,1
Encode,0.2952971152364,20,2
Encode,0.350058498242167,20,3
Encode,0.288016553358358,20,4
Encode,0.299357138151106,20,5
Encode,0.310473416278823,20,6
Encode,0.313255263237181,20,7
Encode,0.310384885391899,20,8
Encode,0.310963662341018,20,9
Encode,0.309913995121722,6,1
Encode,0.314452268008332,6,2
Encode,0.312464525454529,6,3
Encode,0.319018741955927,18,1
Encode,0.338495807871433,18,2
Encode,0.318557093449417,18,3
Encode,0.315753981677384,20,1
Encode,0.309016737504384,20,2
Encode,0.315781222671004,20,3
Encode,0.298845431142759,6,1
Encode,0.307827867123679,6,2
Encode,0.318292983522733,6,3
Encode,0.298287267229913,23,1
Encode,0.326295825537523,3,1
Encode,0.328156837403866,3,2
Encode,0.296564094646876,6,1
Encode,0.320064584941614,6,2
Encode,0.317909933708332,6,3
Encode,0.326772734468187,6,4
Encode,0.321732072298732,6,5
Encode,0.342927912810461,6,6
Encode,0.286993373931154,6,7
Encode,0.283874791165343,6,8
Encode,0.311334620588623,6,9
Encode,0.304994013330494,6,10
Encode,0.303343060931249,6,11
Encode,0.307846754914234,6,12
Encode,0.316288265533831,6,13
Encode,0.290874862029557,6,14
Encode,0.30179072642024,6,15
Encode,0.322422954851203,6,16
Encode,0.295960755909314,6,17
Encode,0.292855531150948,6,18
Encode,0.312106862710619,6,19
Encode,0.311837932494133,6,20
Encode,0.314160914095547,6,21
Encode,0.320122931404762,6,22
Encode,0.315591214836187,6,23
Encode,0.319801641983883,6,24
Encode,0.315539109679168,6,25
Encode,0.313582422380924,6,26
Encode,0.298382911430907,6,27
Encode,0.291819776967249,6,28
Encode,0.306154604982472,6,29
Encode,0.330018346469927,6,30
Encode,0.333702320282145,18,1
Encode,0.343647109297911,18,2
Encode,0.32926353642184,18,3
Encode,0.356943537874535,18,4
Encode,0.345938279467627,18,5
Encode,0.315471255128141,18,6
Encode,0.354033085991573,18,7
Encode,0.357940085751098,18,8
Encode,0.333075447642917,18,9
Encode,0.327638903623135,21,1
Encode,0.334138360161157,21,2
Encode,0.30346265750471,23,1
Encode,0.326589651173201,23,2
Encode,0.330325725615667,23,3
Encode,0.289860742898037,23,4
Encode,0.342051672121689,24,1
Encode,0.317765989464647,24,2
Encode,0.414660150170875,24,3
Encode,0.306320615885405,24,4
Encode,0.329501535041502,24,5
Encode,0.303919029912303,24,6
Encode,0.377641595467073,24,7
Encode,0.316465689202582,24,8
Encode,0.320516935841855,24,9
Encode,0.300218388744991,24,10
Encode,0.334268418652473,24,11
Encode,0.291929293214466,24,12
Encode,0.317982183416158,24,13
Encode,0.292156943625936,24,14
Encode,0.31562483333868,24,15
Encode,0.285811914744656,24,16
Encode,0.358048690872893,24,17
Encode,0.327651573725761,24,18
Encode,0.330139881456632,24,19
Encode,0.300994156153664,24,20
Encode,0.33230487568761,24,21
Encode,0.312051942314913,24,22
Encode,0.32138030209877,25,1
Encode,0.321644950223294,25,2
Encode,0.311713854197443,25,3
Encode,0.294286871958791,25,4
Encode,0.310501730921525,25,5
Encode,0.313319812867765,25,6
Encode,0.327011780769552,25,7
Encode,0.321773845671286,25,8
Encode,0.301060050372035,25,9
Encode,0.29545575179329,25,10
Encode,0.318924034643356,25,11
Encode,0.336761496751267,25,12
Encode,0.319656342438389,25,13
Encode,0.303319344904794,25,14
Encode,0.298791840361411,25,15
Encode,0.322099113314481,25,16
Encode,0.317039824260227,25,17
Encode,0.318220903571616,25,18
Encode,0.279953352290141,25,19
Encode,0.297587930713115,25,20
Encode,0.323137757754677,25,21
Encode,0.308541669477475,25,22
Encode,0.307209047720753,25,23
Encode,0.323576684795871,25,24
Encode,0.316531471666423,25,25
Encode,0.320028460587879,6,1
Encode,0.300275799280419,6,2
Encode,0.327522483834768,6,3
Encode,0.327605232380958,6,4
Encode,0.292756702710642,6,5
Encode,0.314279725533163,6,6
Encode,0.330257027482159,6,7
Encode,0.298032399923943,6,8
Encode,0.319134385258214,6,9
Encode,0.329493897358874,10,1
Encode,0.325810867901601,10,2
Encode,0.315162799299912,10,3
Encode,0.301413341537555,10,4
Encode,0.308717349529806,10,5
Encode,0.31496309633641,10,6
Encode,0.320531484057566,10,7
Encode,0.320143854341516,20,1
Encode,0.313793769799343,20,2
Encode,0.318435260422953,20,3
Encode,0.321741767181683,20,4
Encode,0.312944935300216,20,5
Encode,0.307507659698955,20,6
Encode,0.314858538159127,25,1
Encode,0.310262787378322,25,2
Encode,0.314117101457403,25,3
Encode,0.319400522747333,25,4
Encode,0.31494083609905,25,5
Encode,0.319207463138745,3,1
Encode,0.305724176988714,3,2
Encode,0.308881262585565,3,3
Encode,0.310191118617608,3,4
Encode,0.291935017816198,3,5
Encode,0.30991981912072,3,6
Encode,0.308434775246532,3,7
Encode,0.302243023410746,3,8
Encode,0.317504489741304,3,9
Encode,0.297390433095368,3,10
Encode,0.314413150686533,3,11
Encode,0.326981893737774,3,12
Encode,0.317319177443389,3,13
Encode,0.33420709155661,3,14
Encode,0.326122422731613,3,15
Encode,0.317220530879547,3,16
Encode,0.33141611188667,3,17
Encode,0.314881417801076,3,18
Encode,0.318632113969928,3,19
Encode,0.311117979614056,3,20
Encode,0.27917897358599,6,1
Encode,0.330680924109817,6,2
Encode,0.324783389997414,6,3
Encode,0.332261188616102,6,4
Encode,0.299782193209296,6,5
Encode,0.305805243418239,6,6
Encode,0.310066139725169,6,7
Encode,0.298498445712032,6,8
Encode,0.311578445709839,6,9
Encode,0.31600257969167,6,10
Encode,0.282040238960132,6,11
Encode,0.32218938789963,6,12
Encode,0.327071941954489,6,13
Encode,0.327840228387713,6,14
Encode,0.321478267859715,6,15
Encode,0.303247530782882,6,16
Encode,0.317869804014762,6,17
Encode,0.321969143860408,6,18
Encode,0.312523510109341,6,19
Encode,0.325715178780269,6,20
Encode,0.294405191353142,6,21
Encode,0.310014562238435,6,22
Encode,0.33699408208435,6,23
Encode,0.324883373262159,6,24
Encode,0.306423776525756,6,25
Encode,0.309228691816913,6,26
Encode,0.313275072924656,6,27
Encode,0.294953760194727,6,28
Encode,0.29974592146244,6,29
Encode,0.306901706879938,6,30
Encode,0.309135843951952,8,1
Encode,0.337558920736119,8,2
Encode,0.315678986914325,8,3
